country,child_mort,exports,health,imports,income,inflation,life_expec,total_fer,gdpp,continent,latitude,longitude
Afghanistan,90.2,10.0,7.58,44.9,1610,9.44,56.2,5.82,553,Asia,33.85639928169076,66.08669022192831
Albania,16.6,28.0,6.55,48.6,9930,4.49,76.3,1.65,4090,Europe,41.14135330604879,20.03242643144321
Algeria,27.3,38.4,4.17,31.4,12900,16.1,76.5,2.89,4460,Africa,28.185481278657537,2.5980477916183444
Angola,119.0,62.3,2.85,42.9,5900,22.4,60.1,6.16,3530,Africa,-12.245869036133188,17.47057255231345
Argentina,14.5,18.9,8.1,16.0,18700,20.9,75.8,2.37,10300,South America,-35.4468214894951,-65.17536077114173
Armenia,18.1,20.8,4.4,45.3,6700,7.77,73.3,1.69,3220,Asia,40.21660761230143,45.00029001101479
Australia,4.8,19.8,8.73,20.9,41400,1.16,82.0,1.93,51900,Oceania,-25.73065477972608,134.50277547536595
Austria,4.3,51.3,11.0,47.8,43200,0.873,80.5,1.44,46900,Europe,47.6139487927463,14.076158884337072
Azerbaijan,39.2,54.3,5.88,20.7,16000,13.8,69.1,1.92,5840,Asia,40.22069054766167,47.553909558006055
Bahamas,13.8,35.0,7.89,43.7,22900,-0.393,73.8,1.86,28000,North America,25.515491725336624,-77.92997080393516
Bangladesh,49.4,16.0,3.52,21.8,2440,7.14,70.4,2.33,758,Asia,23.83946179534406,90.26792827719598
Belarus,5.5,51.4,5.61,64.5,16200,15.1,70.4,1.49,6030,Europe,53.50634479481114,27.98135261544803
Belgium,4.5,76.4,10.7,74.7,41100,1.88,80.0,1.86,44400,Europe,50.65244095902296,4.580834113854935
Belize,18.8,58.2,5.2,57.5,7880,1.14,71.4,2.71,4340,North America,17.197089911451545,-88.70342125299318
Benin,111.0,23.8,4.1,37.2,1820,0.885,61.8,5.36,758,Africa,9.6474307806637,2.337377553496156
Bhutan,42.7,42.5,5.2,70.7,6420,5.99,72.1,2.38,2180,Asia,27.427968649102027,90.4724248062037
Bolivia,46.6,41.2,4.84,34.3,5410,8.78,71.6,3.2,1980,South America,-16.72898701530584,-64.64140560603113
Botswana,52.5,43.6,8.3,51.3,13300,8.92,57.1,2.88,6350,Africa,-22.099711378826413,23.773081465789428
Brazil,19.8,10.7,9.01,11.8,14500,8.41,74.2,1.8,11200,South America,-10.806773643498916,-53.05434003576711
Brunei,10.5,67.4,2.84,28.0,80600,16.7,77.1,1.84,35300,Asia,4.690250542520635,114.91510877393952
Bulgaria,10.8,50.2,6.87,53.0,15300,1.11,73.9,1.57,6840,Europe,42.7531187620217,25.19511095327711
Burkina Faso,116.0,19.2,6.74,29.6,1430,6.81,57.9,5.87,575,Africa,12.311650494136712,-1.77653745205594
Burundi,93.6,8.92,11.6,39.2,764,12.3,57.7,6.26,231,Africa,-3.3773910753554657,29.91389229542573
